description,price,rank,link,other_name,g3d_mark,name
,,59,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+X1&id=407,"ATI FireGL X1, ATI FireGL X1 (Omega 3.8.252), ATI FireGL X1 Secondary",NA,FireGL X1
"Bus Interface: PCIe 2.0, Max Memory Size: 512 MB, Core Clock(s): 775 MHz, Memory Clock(s): 1125 MHz, Graphics API Support: DirectX 10.1 (SM 4.0 onl OpenGL 2.1",,660,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7700&id=404,ATI FireGL V7700,3.77,FireGL V7700
"Bus Interface: PCIe, Max Memory Size: 512 MB, Core Clock(s): 600 MHz, Memory Clock(s): 800 MHz, Graphics API Support: DirectX 10 OpenGL 2.1",,616,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7600&id=403,ATI FireGL V7600,NA,FireGL V7600
"Bus Interface: PCIe, Max Memory Size: 512 MB, Core Clock(s): 600 MHz, Memory Clock(s): 650 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,128,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7300&id=401,ATI FireGL V7300,0.11,FireGL V7300
"Bus Interface: PCIe, Max Memory Size: 1024 MB, Core Clock(s): 600 MHz, Memory Clock(s): 650 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,122,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7350&id=402,"ATI FireGL V7350, ATI FireGL V7350 Secondary, ATI FireGL V7350 Secondary (Microsoft Corporation - WDDM)",0.08,FireGL V7350
"Bus Interface: PCIe x16, Max Memory Size: 256 MB, Core Clock(s): 600 MHz, Memory Clock(s): 650 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,114,https://www.videocardbenchmark.net/gpu.php?gpu=FireGL+V7200&id=400,"ATI FireGL V7200, ATI FireGL V7200 Secondary, ATI FireGL V7200 Secondary (Microsoft Corporation - WDDM)",NA,FireGL V7200
,,5,https://www.videocardbenchmark.net/gpu.php?gpu=Xabre&id=2098,Xabre,NA,Xabre
,,442,https://www.videocardbenchmark.net/gpu.php?gpu=VirtualBox+Adapter+for+Windows+8%2B&id=3486,VirtualBox Graphics Adapter for Windows 8+,NA,VirtualBox Adapter for Windows 8+
,,262,https://www.videocardbenchmark.net/gpu.php?gpu=Wine+Display+Adapter&id=3402,Wine Display Adapter,NA,Wine Display Adapter
,,5,https://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+UniChrome+Pro+IGP&id=1971,VIA/S3G UniChrome Pro IGP,NA,VIA/S3G UniChrome Pro IGP
,,6,https://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+UniChromeII&id=1973,VIA/S3G UniChromeII Graphics,NA,VIA/S3G UniChromeII
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+UniChrome+IGP&id=1970,VIA/S3G UniChrome IGP,NA,VIA/S3G UniChrome IGP
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+KM400%2FKN400&id=1968,VIA/S3G KM400/KN400,NA,VIA/S3G KM400/KN400
,,106,https://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+Chrome+645%2F640+GPU&id=1962,VIA/S3G Chrome 645/640 GPU,NA,VIA/S3G Chrome 645/640 GPU
,,3,https://www.videocardbenchmark.net/gpu.php?gpu=VIA%2FS3G+DeltaChrome+IGP&id=1965,VIA/S3G DeltaChrome IGP,NA,VIA/S3G DeltaChrome IGP
,,11,https://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HD+IGP&id=1960,VIA Chrome9 HD IGP,NA,VIA Chrome9 HD IGP
,,2,https://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HCM+IGP&id=1957,VIA Chrome9 HCM IGP,NA,VIA Chrome9 HCM IGP
,,3,https://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+WDDM+1.1&id=1954,VIA Chrome9 HC IGP WDDM 1.1,NA,VIA Chrome9 HC IGP WDDM 1.1
,,3,https://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+WDDM&id=1953,VIA Chrome9 HC IGP WDDM,NA,VIA Chrome9 HC IGP WDDM
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+Family+WDDM&id=1951,VIA Chrome9 HC IGP Family WDDM,NA,VIA Chrome9 HC IGP Family WDDM
,,3,https://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+Prerelease+WDDM+1.1&id=1952,VIA Chrome9 HC IGP Prerelease WDDM 1.1,NA,VIA Chrome9 HC IGP Prerelease WDDM 1.1
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP+Family&id=1950,VIA Chrome9 HC IGP Family,NA,VIA Chrome9 HC IGP Family
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=VIA+Chrome9+HC+IGP&id=1949,VIA Chrome9 HC IGP,NA,VIA Chrome9 HC IGP
,,3,https://www.videocardbenchmark.net/gpu.php?gpu=Vanta%2FVanta+LT&id=1674,NVIDIA Vanta/Vanta LT,NA,Vanta/Vanta LT
,,576,https://www.videocardbenchmark.net/gpu.php?gpu=TRINITY+DEVASTATOR+MOBILE&id=3578,TRINITY DEVASTATOR MOBILE,NA,TRINITY DEVASTATOR MOBILE
,,13161,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+V&id=3859,NVIDIA TITAN V,NA,TITAN V
,,14983,https://www.videocardbenchmark.net/gpu.php?gpu=TITAN+Xp+COLLECTORS+EDITION&id=3863,NVIDIA TITAN Xp COLLECTORS EDITION,NA,TITAN Xp COLLECTORS EDITION
"Bus Interface: PCIe 2.0 x16, Max Memory Size: 6144 MB, Core Clock(s): 575 MHz, Memory Clock(s): 3000 MHz, Graphics API Support: DirectX 12 OpenGL 4.5 Max TDP: 247 W",,3077,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2070&id=1670,NVIDIA Tesla C2070,NA,Tesla C2070
,,3324,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2075&id=1671,NVIDIA Tesla C2075,1.46,Tesla C2075
"Bus Interface: PCIe 2.0 x16, Max Memory Size: 6144 MB, Memory Clock(s): 1500 MHz, Max TDP: 238 W",,3756,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2050+%2F+C2070&id=2515,NVIDIA Tesla C2050 / C2070,NA,Tesla C2050 / C2070
,,3465,https://www.videocardbenchmark.net/gpu.php?gpu=Tesla+C2050&id=1669,NVIDIA Tesla C2050,NA,Tesla C2050
,,650,https://www.videocardbenchmark.net/gpu.php?gpu=SUMO+9640&id=1919,SUMO 9640,NA,SUMO 9640
,,498,https://www.videocardbenchmark.net/gpu.php?gpu=SUMO+964A&id=1922,SUMO 964A,NA,SUMO 964A
,,2,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+Mirage+3&id=1910,SiS Mirage 3 Graphics,NA,SiS Mirage 3
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+Mirage&id=1911,SiS Mirage Graphics,NA,SiS Mirage
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+M661MX&id=1905,SiS M661MX,NA,SiS M661MX
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+M760GX&id=1909,SiS M760GX,NA,SiS M760GX
,,5,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+760&id=1900,SiS 760,NA,SiS 760
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+741&id=1899,SiS 741,NA,SiS 741
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+661FX_760_741_M661FX_M760_M741&id=1897,SiS 661FX_760_741_M661FX_M760_M741,NA,SiS 661FX_760_741_M661FX_M760_M741
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+661FX%2FGX+Mirage&id=1895,SiS 661FX/GX Mirage Graphics,NA,SiS 661FX/GX Mirage
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+661FX&id=1894,SiS 661FX,NA,SiS 661FX
,,3,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+651&id=1890,SiS 651,NA,SiS 651
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+650_651_M650_M652_740&id=1889,SiS 650_651_M650_M652_740,NA,SiS 650_651_M650_M652_740
,,1,https://www.videocardbenchmark.net/gpu.php?gpu=SiS+630%2F730&id=1884,SiS 630/730,NA,SiS 630/730
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=Sherry+1.3.2+beta+for+945+chipsets&id=1879,Sherry 1.3.2 beta for 945 chipsets (GME/GSE),NA,Sherry 1.3.2 beta for 945 chipsets
,,2,https://www.videocardbenchmark.net/gpu.php?gpu=Sherry+1.3+for+GMA+3150&id=1877,Sherry 1.3 for GMA 3150,NA,Sherry 1.3 for GMA 3150
,,113,https://www.videocardbenchmark.net/gpu.php?gpu=Sapphire+RADEON+X800+GT&id=1874,"Sapphire RADEON X800 GT, Sapphire RADEON X800 GT Secondary",NA,Sapphire RADEON X800 GT
,,61,https://www.videocardbenchmark.net/gpu.php?gpu=SAPPHIRE+Radeon+X1550&id=1864,"SAPPHIRE Radeon X1550, SAPPHIRE Radeon X1550 Secondary",NA,SAPPHIRE Radeon X1550
,,47,https://www.videocardbenchmark.net/gpu.php?gpu=SAPPHIRE+RADEON+9600+ATLANTIS&id=1859,SAPPHIRE RADEON 9600 ATLANTIS,NA,SAPPHIRE RADEON 9600 ATLANTIS
,,1,https://www.videocardbenchmark.net/gpu.php?gpu=S3+ProSavageDDR&id=1835,S3 Graphics ProSavageDDR,NA,S3 ProSavageDDR
,,40,https://www.videocardbenchmark.net/gpu.php?gpu=S3+Chrome+430+ULP&id=1828,S3 Graphics Chrome 430 ULP,NA,S3 Chrome 430 ULP
,,119,https://www.videocardbenchmark.net/gpu.php?gpu=RV530+PRO&id=1820,RV530 PRO,NA,RV530 PRO
,,3,https://www.videocardbenchmark.net/gpu.php?gpu=RIVA+TNT2%2FTNT2+Pro&id=1667,NVIDIA RIVA TNT2/TNT2 Pro,NA,RIVA TNT2/TNT2 Pro
,,4,https://www.videocardbenchmark.net/gpu.php?gpu=RIVA+TNT2+Model+64%2FModel+64+Pro&id=1665,NVIDIA RIVA TNT2 Model 64/Model 64 Pro,NA,RIVA TNT2 Model 64/Model 64 Pro
,,11,https://www.videocardbenchmark.net/gpu.php?gpu=RGH+Drivers+v3&id=3577,RGH Drivers v3[BETA],NA,RGH Drivers v3
,,32,https://www.videocardbenchmark.net/gpu.php?gpu=Red+Hat+QXL+controller&id=3314,Red Hat QXL controller,NA,Red Hat QXL controller
,,3,https://www.videocardbenchmark.net/gpu.php?gpu=Rage+Fury+Pro%2FXpert+2000+Pro&id=1797,Rage Fury Pro/Xpert 2000 Pro,NA,Rage Fury Pro/Xpert 2000 Pro
,,1,https://www.videocardbenchmark.net/gpu.php?gpu=RAGE+128+PRO+AGP+4X+TMDS&id=1790,RAGE 128 PRO AGP 4X TMDS,NA,RAGE 128 PRO AGP 4X TMDS
,,2175,https://www.videocardbenchmark.net/gpu.php?gpu=RadeonT+R7+450&id=3691,AMD RadeonT R7 450,NA,RadeonT R7 450
,,1087,https://www.videocardbenchmark.net/gpu.php?gpu=RadeonT+R5+430&id=3825,AMD RadeonT R5 430,NA,RadeonT R5 430
,,22,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+XPRESS+200M&id=628,ATI RADEON XPRESS 200M,NA,RADEON XPRESS 200M
,,30,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+XPRESS+200&id=627,"ATI RADEON XPRESS 200, MSI RADEON XPRESS 200 Series",NA,RADEON XPRESS 200
,,27,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1270&id=626,ATI Radeon Xpress 1270,NA,Radeon Xpress 1270
,,36,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1200&id=625,ATI Radeon Xpress 1200,NA,Radeon Xpress 1200
,,43,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1250&id=104,"ATI Radeon Xpress 1250, Radeon Xpress 1250",NA,Radeon Xpress 1250
,,30,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1150&id=624,"AMD Radeon Xpress 1150, ATI Radeon Xpress 1150, ATI Radeon Xpress 1150 Secondary, Radeon Xpress 1150 (Omega 3.8.442)",NA,Radeon Xpress 1150
,,33,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Xpress+1100&id=622,ATI Radeon Xpress 1100,NA,Radeon Xpress 1100
"Bus Interface: PCI-E x16, Max Memory Size: 256 MB, Core Clock(s): 540 MHz, Memory Clock(s): 1180 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,82,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X850+XT+Platinum+Edition&id=621,"ATI RADEON X850 XT Platinum Edition, RADEON X850 XT Platinum Edition, RADEON X850 XT Platinum Edition Secondary",NA,RADEON X850 XT Platinum Edition
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 520 MHz, Memory Clock(s): 1080 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,81,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X850+XT&id=1784,"ATI RADEON X850 XT, RADEON X850 XT, RADEON X850 XT Secondary",NA,RADEON X850 XT
,,80,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800GT&id=1782,"RADEON X800GT, RADEON X800GT Secondary",NA,RADEON X800GT
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 507 MHz, Memory Clock(s): 1040 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,73,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X850+PRO&id=620,"ATI RADEON X850 PRO, RADEON X850 PRO",NA,RADEON X850 PRO
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 500 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,98,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+XT&id=81,"RADEON X800 XT, RADEON X800 XT Secondary",NA,RADEON X800 XT
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 980 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,69,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+XL&id=619,"ATI RADEON X800 XL, RADEON X800 XL",NA,RADEON X800 XL
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 980 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,76,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+GTO&id=1777,"RADEON X800 GTO, Radeon X800 GTO (Omega 3.8.442), RADEON X800 GTO Secondary",NA,RADEON X800 GTO
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 980 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,73,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+PRO%2FGTO&id=1779,"RADEON X800 PRO/GTO, Radeon X800 PRO/GTO (Omega 3.8.442), RADEON X800 PRO/GTO Secondary",NA,RADEON X800 PRO/GTO
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 475 MHz, Memory Clock(s): 980 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,84,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+GT&id=618,"ATI RADEON X800 GT, RADEON X800 GT, Radeon X800 GT (Omega 3.8.442)",NA,RADEON X800 GT
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 475 MHz, Memory Clock(s): 900 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,65,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X800+PRO&id=1778,"RADEON X800 PRO, RADEON X800 PRO Secondary",NA,RADEON X800 PRO
"Bus Interface: PCI-E x16, Max Memory Size: 128 MB, Core Clock(s): 400 MHz, Memory Clock(s): 400,500 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,71,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X700+SE&id=1775,"RADEON X700 SE, RADEON X700 SE Secondary",NA,RADEON X700 SE
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 425 MHz, Memory Clock(s): 864 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,76,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X700+PRO&id=1774,"ASUS Extreme AX700 Pro, GIGABYTE RADEON X700 PRO, HIGHTECH EXCALIBUR X700 PRO, RADEON X700 PRO, RADEON X700 Series, RX700 PRO-128PCIE, Sapphire RADEON X700 PRO, Tul Corporation, RADEON X700 PRO",NA,RADEON X700 PRO
"Bus Interface: AGP 8x, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 700 MHz, Graphics API Support: DirectX 9.0b OpenGL 2",,72,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X700&id=1773,"ASUS X700 Series, ASUS X700 Series Secondary, CONNECT 3D RADEON X700, Diamond X700-PCIE 256MB, GIGABYTE RADEON X700, HIGHTECH RADEON X700, HIGHTECH RADEON X700 Secondary, Palit RADEON X700, RADEON X700, RADEON X700 Series, RADEON X700 Series Secondary, Sapphire RADEON X700, VisionTek XTASY RADEON X700",NA,RADEON X700
,,92,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X600XT&id=1772,"ASUS Extreme AX600XT-TD, ASUS Extreme AX600XT-TD 128M - Secondary, RADEON X600XT",NA,RADEON X600XT
"Bus Interface:  PCI-E x16, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 250 MHz, Graphics API Support: DirectX 9.0 OpenGL 2.0",,58,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X600+256MB+HyperMemory&id=1769,"RADEON X600 256MB HyperMemory, RADEON X600 256MB HyperMemory Secondary",NA,RADEON X600 256MB HyperMemory
,,71,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X550XTX&id=1768,"Radeon X550XTX, Radeon X550XTX Secondary",NA,Radeon X550XTX
,,55,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X550XT&id=1767,"RADEON X550XT, RADEON X550XT Secondary",NA,RADEON X550XT
"Bus Interface: PCI-E x16, Max Memory Size: 256 MB, Core Clock(s): 400 MHz, Memory Clock(s): 500 MHz, Graphics API Support: DirectX 9 OpenGL 2",,51,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X550&id=1766,"RADEON X550, RADEON X550 Secondary",NA,RADEON X550
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 575 MHz, Memory Clock(s): 690 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 66 W",,113,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1950+Pro&id=1764,"Radeon X1950 Pro, Radeon X1950 Pro (Omega 3.8.421), Radeon X1950 Pro (Omega 3.8.442), Radeon X1950 Pro Secondary, VisionTek RADEON X1950 Pro XGE",NA,Radeon X1950 Pro
,,38,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X300SE&id=1765,"ASUS EAX300 SE, ASUS Extreme AX300, ASUS Extreme AX300 Secondary, ASUS Extreme AX300 Series, ASUS Extreme AX300 Series Secondary, ASUS Extreme AX300SE/T, ASUS X300 Series, ATI Radeon X300/X550/X1050 Series, ATI Radeon X300/X550/X1050 Series Secondary, Diamond X300SEHM-PCIE 128MB, Diamond X300SEHM-PCIE 256MB, RADEON Radeon X300/X550/X1050 Series, RADEON X300 SE 128MB HyperMemory, RADEON X300 SE 128MB HyperMemory Secondary, RADEON X300 Series, RADEON X300 Series Secondary, Radeon X300/X550/X1050 Series, SAPPHIRE RADEON X300SE, SAPPHIRE RADEON X300SE - Secondary, SAPPHIRE RADEON X300SE 128MB - Secondary, SAPPHIRE RADEON X300SE PCI-E, Tul Corporation, RADEON X300SE, VisionTek Radeon X300 SE Hypermemory, VisionTek XTASY X300 SE Hypermemory",NA,RADEON X300SE
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 500 MHz, Memory Clock(s): 600 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 57 W",,110,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1950+GT&id=615,ATI Radeon X1950 GT,NA,Radeon X1950 GT
"Bus Interface: PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 650 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,151,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1950+CrossFire+Edition&id=1763,"Radeon X1950 CrossFire Edition, Radeon X1950 CrossFire Edition Secondary",NA,Radeon X1950 CrossFire Edition
"Bus Interface: PCI-E x16, Max Memory Size: 256 MB, Core Clock(s): 575 MHz, Memory Clock(s): 600 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 75 W",,146,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1900+GT&id=1762,"Radeon X1900 GT, Radeon X1900 GT Secondary",NA,Radeon X1900 GT
"Bus Interface: PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 625 MHz, Memory Clock(s): 725 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 100 W",,137,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1900+CrossFire+Edition&id=1761,"Radeon X1900 CrossFire Edition, Radeon X1900 CrossFire Edition Secondary",NA,Radeon X1900 CrossFire Edition
,,117,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1700+Targa+Edition&id=2206,Radeon X1700 Targa Edition,NA,Radeon X1700 Targa Edition
"Bus Interface: PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 500 MHz, Memory Clock(s): 495 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 48 W",,141,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1800+GTO&id=1760,"Radeon X1800 GTO, Radeon X1800 GTO Secondary",NA,Radeon X1800 GTO
,,71,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1650+SE&id=1757,Radeon X1650 SE,NA,Radeon X1650 SE
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 600 MHz, Memory Clock(s): 700 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 44 W",,84,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1650+Pro&id=614,"ASUS X1650 Series, ATI Radeon X1650 Pro, Radeon X1650 Series, VisionTek Radeon X1650 Pro",0.52,Radeon X1650 Pro
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 590 MHz, Memory Clock(s): 780 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 42 W",,113,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1600+XT&id=2493,"Radeon X1600 Series, Sapphire RADEON X1600 XT, VisionTek Radeon X1600 XT, VisionTek Radeon X1600XT XGE",NA,Radeon X1600 XT
,,75,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1650+GTO&id=1756,"Radeon X1650 GTO, Radeon X1650 GTO (Omega 3.8.330)",NA,Radeon X1650 GTO
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 500 MHz, Memory Clock(s): 390 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 41 W",,99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1600+Pro&id=2494,"ASUS X1600 Series, ASUS X1600Pro, Diamond X1600 PRO 512MB AGP, Diamond X1600 PRO 512MB PCI-E, GIGABYTE Radeon X1600 PRO, GIGABYTE Radeon X1600 PRO Secondary, GIGABYTE Radeon X1600 Series, GIGABYTE Radeon X1600 Series Secondary, Radeon X1600 Series, Radeon X1600 Series (Omega 3.8.421), Radeon X1600/X1650 Series, Sapphire RADEON X1600 PRO, Sapphire RADEON X1600 PRO Secondary, VisionTek Radeon X1600 Pro",NA,Radeon X1600 Pro
,,69,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1600+Pro+%2F+X1300XT&id=1755,Radeon X1600 Pro / X1300XT,NA,Radeon X1600 Pro / X1300XT
,,49,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1600&id=1753,Radeon X1600,NA,Radeon X1600
,,47,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1550+64-bit&id=1752,"Radeon X1550 64-bit, Radeon X1550 64-bit Secondary",NA,Radeon X1550 64-bit
